"","Feature","logFC","Average.level","T_statistic","P_value","Adjusted.p_value","GeneID","chromosome"
"2955","ACAA1",-0.0780813268829311,0.270441662015936,-0.731412100004602,0.469495908171834,0.96556534279626,30,"3"
"2956","RPL8",-0.0720406559122955,5.12222971462997,-0.73097000573189,0.469762428546881,0.96556534279626,6132,"8"
"2957","PRRC1",-0.0746589657267582,1.61801365040699,-0.73080221856778,0.469863603350644,0.96556534279626,133619,"5"
"2958","MDP1",0.095845693238382,1.52186143474206,0.730332802593298,0.470146725574888,0.96556534279626,145553,"14"
"2959","CIRBP",0.145872488607214,2.2793436833697,0.729927655632941,0.470391163866633,0.96556534279626,1153,"19"
"2960","CAPZA2",0.146565041537733,3.01136387196285,0.729789283526083,0.470474665029161,0.96556534279626,830,"7"
"2961","ARMC1",0.0532790230692068,0.814010362438388,0.729383940212293,0.470719320140218,0.96556534279626,55156,"8"
"2962","SMC6",-0.180780866421919,-2.73816895901599,-0.729144632921376,0.470863794470658,0.96556534279626,79677,"2"
"2963","LRRFIP1",0.106574176800768,1.03407141797879,0.728966124695547,0.470971579895614,0.96556534279626,9208,"2"
"2964","IL18",-0.172091768532177,-0.681048518855051,-0.728698842170269,0.47113299489291,0.96556534279626,3606,"11"
"2965","IGSF11",0.0779558437821657,-1.91344084322132,0.728661090245896,0.471155796283442,0.96556534279626,152404,"3"
"2966","ERG28",0.0744626018323236,1.31609237473733,0.728397990573791,0.471314720758398,0.96556534279626,11161,"14"
"2967","COL1A2",0.450881139736224,-2.32165558843413,0.72836511449851,0.471334581611275,0.96556534279626,1278,"7"
"2968","TMEM68",0.0619553364724271,-0.435173617819148,0.728035636552576,0.471533650024493,0.96556534279626,137695,"8"
"2969","ANKHD1-EIF4EBP3",0.0739676822587681,-0.809332436618346,0.727918037113373,0.471604714555477,0.96556534279626,404734,"5"
"2970","NFRKB",0.0921484581441225,-2.35847477487793,0.727709991797628,0.471730450008674,0.96556534279626,4798,"11"
"2971","PSEN1",0.139140273251059,-3.34034943970967,0.727660180720078,0.471760556978402,0.96556534279626,5663,"14"
"2972","INIP",0.178874253457156,-3.29486074272067,0.727151676700257,0.472067971865254,0.96556534279626,58493,"9"
"2973","HSPBAP1",-0.116639824293809,-1.94466680715504,-0.727011542855101,0.472152709700101,0.96556534279626,79663,"3"
"2974","ATP6AP2",0.0839219982242576,1.73163108020461,0.726241873851187,0.472618278490891,0.96556534279626,10159,"X"
"2975","MTO1",-0.0624976127225049,-0.885246385822611,-0.72511498172765,0.473300405606799,0.96556534279626,25821,"6"
"2976","STK32C",0.084894620867046,-0.776018326984967,0.724499760418214,0.473673048152509,0.96556534279626,282974,"10"
"2977","NACAD",0.149060762810891,-2.20356995718007,0.724370692267486,0.473751246733041,0.96556534279626,23148,"7"
"2978","PPL",0.0836107474536965,1.53568823158945,0.72389568145166,0.474039105581344,0.96556534279626,5493,"16"
"2979","GPX8",-0.153954029896686,-0.449949971370756,-0.723308306137826,0.474395196623896,0.96556534279626,493869,"5"
"2980","VIRMA",0.0554749857249593,-0.526712086161893,0.723279817558845,0.474412471471399,0.96556534279626,25962,"8"
"2981","ERCC6",0.133415239889883,-2.10245447995119,0.723073590346568,0.474537533875431,0.96556534279626,2074,"10"
"2982","ROGDI",0.0688393178243988,0.456977524231445,0.72256640129035,0.474845189042536,0.96556534279626,79641,"16"
"2983","VTN",-0.163806678214229,1.14329884773457,-0.722548105096732,0.47485628944397,0.96556534279626,7448,"17"
"2984","S100A10",-0.16377270752745,1.07453247020382,-0.721987217064697,0.475196655476499,0.96556534279626,6281,"1"
"2985","PGRMC1",0.069716969479062,3.53900365407923,0.721457675814257,0.475518127469885,0.96556534279626,10857,"X"
"2986","NDUFC1",0.0972151074211178,0.13996240648571,0.721424611415048,0.475538204217188,0.96556534279626,4717,"4"
"2987","PAPPA2",-0.0931213250432763,-0.946831069627355,-0.72134942833464,0.475583857290959,0.96556534279626,60676,"1"
"2988","ARFGAP2",0.0685621413608106,1.75125310870732,0.721292983979702,0.475618133384872,0.96556534279626,84364,"11"
"2989","TSPYL5",0.0814124071343687,-0.025796799148213,0.72126868574839,0.475632889033091,0.96556534279626,85453,"8"
"2990","ZMAT2",0.158433109697358,-0.711536027574794,0.72125557336551,0.47564085193183,0.96556534279626,153527,"5"
"2991","RMND5A",-0.132072347115064,-2.08606718007191,-0.721240767578962,0.475649843293923,0.96556534279626,64795,"2"
"2992","MYDGF",-0.0766002836592903,3.02502310222839,-0.721181230496915,0.475686000374152,0.96556534279626,56005,"19"
"2993","TUFT1",0.080434021871163,-1.85257811000177,0.72116201644034,0.475697669474514,0.96556534279626,7286,"1"
"2994","SSX2IP",0.0878004680120521,-1.87435773693538,0.720947770922002,0.475827796384318,0.96556534279626,117178,"1"
"2995","RAPH1",0.0822081827415935,0.633691467443756,0.720799195035803,0.475918049309181,0.96556534279626,65059,"2"
"2996","LYSMD2",0.0999728609563602,1.80758235833184,0.72022413212559,0.476267465577588,0.96556534279626,256586,"15"
"2997","CTSH",-0.134626809222879,-0.455307462681473,-0.719689450169154,0.476592477469901,0.96556534279626,1512,"15"
"2998","CRYAB",-0.138141979092225,0.696169482867808,-0.71918693776029,0.476898050381325,0.96556534279626,1410,"11"
"2999","RBM34",0.0658411108438162,-0.791323324702563,0.719066190054559,0.476971492576243,0.96556534279626,23029,"1"
"3000","RHBDD2",0.0879061819318376,1.75517834931994,0.719021208069636,0.47699885355401,0.96556534279626,57414,"7"
"3001","DENND6A",0.132208391068945,-2.27978169817925,0.718737073356365,0.477171703555373,0.96556534279626,201627,"3"
"3002","YWHAH",0.0818033570617747,4.10504074767592,0.718624124280364,0.477240424736085,0.96556534279626,7533,"22"
"3003","SH3KBP1",0.0732896414186278,-0.362334833009387,0.718578762470281,0.477268025643095,0.96556534279626,30011,"X"
"3004","SEC14L2",0.0982318731634614,-0.492293418852521,0.718531882998253,0.477296550947186,0.96556534279626,23541,"22"
"3005","LSM3",0.123226942888541,1.3357968616993,0.717828034035911,0.477724947312007,0.96556534279626,27258,"3"
"3006","PRKAB1",-0.0668744291004821,-1.09965804588998,-0.717558038287425,0.477889337981824,0.96556534279626,5564,"12"
"3007","LGALS8",-0.0828329573495403,-0.855900184713381,-0.717438466660145,0.477962151150229,0.96556534279626,3964,"1"
"3008","MPLKIP",0.121725684392423,-3.03019926804692,0.71740713182349,0.477981233553214,0.96556534279626,136647,"7"
"3009","SPIRE1",-0.086306718701799,-2.66086879906858,-0.717391397140893,0.47799081588159,0.96556534279626,56907,"18"
"3010","ADPRS",0.0673458322839851,1.5361084885304,0.717379264303316,0.4779982047826,0.96556534279626,54936,"1"
"3011","FKBPL",-0.134834756339296,-2.09593204503927,-0.717002383484318,0.47822775776267,0.96556534279626,63943,"6"
"3012","DYNC2H1",0.0879564893701615,-1.3098746021864,0.716886052414482,0.478298626140644,0.96556534279626,79659,"11"
"3013","B3GALT5",0.120938151828932,-0.508115217215394,0.716785466204394,0.478359907650219,0.96556534279626,10317,"21"
